id,needType,title,location,region,category,itemName,requiredQuantity,currentQuantity,unit,severity,deadline,timeSlots,requiredSkills,providedSupport,description,publisherName,contactPhone,contactEmail,status,createdAt,managementKey
N001,material,急需白米 - 馬太鞍溪災區,花蓮縣光復鄉馬太鞍部落,東部,food,白米,200,80,公斤,critical,2024-10-20,,,,"避難所目前收容150人，白米存量嚴重不足，急需支援",馬太鞍社區發展協會,03-8701234,mataan@example.com,ongoing,2024-10-07,KEY-N001-ABC123
N002,material,飲用水缺乏,花蓮縣光復鄉馬錫山,東部,water,瓶裝水,500,150,瓶,critical,2024-10-18,,,,"自來水中斷，災民飲用水短缺",花蓮縣政府,03-8227171,hualien@gov.tw,ongoing,2024-10-07,KEY-N002-DEF456
N003,rescue,清理淤泥人力需求,花蓮縣光復鄉馬太鞍溪周邊,東部,labor,清理人力,20,2,人,high,2024-10-14,2024-10-15 08:00-17:00,無需專業技能,提供午餐、交通補助、保險,"需要人力協助清理淤泥，恢復道路暢通，人力嚴重不足！",花蓮縣政府,03-8227171,hualien@gov.tw,urgent,2024-10-07,KEY-N003-GHI789
N004,material,醫療用品補給,花蓮縣壽豐鄉臨時醫療站,東部,medical_supply,急救箱,30,30,組,high,2024-10-25,,,,"醫療站物資已獲得充足補給，感謝各界愛心",花蓮慈濟醫院,03-8561825,tzuchi@example.com,fulfilled,2024-10-07,KEY-N004-JKL012
N005,rescue,需要護理師支援,花蓮縣壽豐鄉臨時醫療站,東部,medical_staff,護理師,5,1,人,high,2024-10-20,2024-10-15 至 2024-10-20 每日 08:00-20:00,護理師執照,提供食宿、交通補助,"災區醫療站人手不足，需要護理師協助照護傷患",花蓮慈濟醫院,03-8561825,tzuchi@example.com,ongoing,2024-10-08,KEY-N005-MNO345
N006,material,禦寒衣物需求,花蓮縣光復鄉避難所,東部,clothing,保暖外套,100,100,件,medium,2024-10-30,,,,"禦寒衣物已收集足夠，感謝紅十字會與各界捐贈",紅十字會花蓮支會,03-8323391,redcross@example.com,fulfilled,2024-10-08,KEY-N006-PQR678
N007,rescue,挖土機支援,花蓮縣光復鄉馬太鞍溪堰塞湖,東部,equipment,挖土機,3,1,台,critical,2024-10-12,2024-10-13 至 2024-10-15 全天,挖土機操作證照,提供油料、操作員食宿,"需要挖土機協助疏通堰塞湖，避免潰堤危險，急需更多設備！",水利署第九河川局,03-8340096,wra09@example.com,urgent,2024-10-08,KEY-N007-STU901
N008,material,嬰兒用品需求,花蓮縣光復鄉避難所,東部,daily_necessities,嬰兒奶粉,50,10,罐,medium,2024-10-25,,,,"避難所有多位嬰幼兒，急需奶粉、尿布等用品",馬太鞍社區發展協會,03-8701234,mataan@example.com,ongoing,2024-10-08,KEY-N008-VWX234
N009,rescue,心理諮商服務,花蓮縣各避難所,東部,professional,心理諮商師,10,3,人,medium,2024-10-30,彈性排班（需至少服務3天）,心理師執照或相關專業背景,提供交通補助,"災民經歷創傷，需要心理支持與諮商服務",花蓮縣衛生局,03-8227141,health@example.com,ongoing,2024-10-08,KEY-N009-YZA567
N010,material,發電機燃料,花蓮縣光復鄉臨時安置區,東部,other_material,柴油,300,0,公升,critical,2024-10-15,,,,"發電機燃料即將用盡，尚無任何認領，急需補充！",台電花蓮區處,03-8323131,taipower@example.com,urgent,2024-10-08,KEY-N010-BCD890
